"DISTRICT","VAP","VAPWHITE","% White","VAPBLACK","% Black","VAPAMIND","% AmInd","VAPASIAN","% Asian","VAPHAWPI","VAPOTHER","VAPMULTI","VAPHISP","% Hisp"
47,54094,35944,66%,4561,8.4%,311,0.6%,5915,10.9%,48,6599,716,12726,23.5%
48,60501,48208,80%,3206,5.3%,303,0.5%,5286,8.7%,41,3088,369,5823,9.6%
49,56035,35519,63%,7327,13.1%,324,0.6%,5573,9.9%,75,6549,668,11489,20.5%
50,54704,41388,76%,5980,10.9%,412,0.8%,2037,3.7%,53,4538,296,7206,13.2%
51,51144,32302,63%,12271,24%,400,0.8%,3131,6.1%,120,2423,497,4612,9%
52,55849,35692,64%,13314,23.8%,453,0.8%,2575,4.6%,97,3195,523,6011,10.8%
53,57568,40465,70%,2597,4.5%,218,0.4%,10847,18.8%,65,3054,322,6311,11%
54,64189,52863,82%,8479,13.2%,428,0.7%,1163,1.8%,37,1009,210,2082,3.2%
55,62957,55813,89%,5924,9.4%,343,0.5%,550,0.9%,7,220,100,536,0.9%
56,62922,49523,79%,12339,19.6%,370,0.6%,349,0.6%,22,171,148,522,0.8%
57,53905,40821,76%,8660,16.1%,165,0.3%,3331,6.2%,28,641,259,1350,2.5%
58,61566,55074,89%,4866,7.9%,238,0.4%,846,1.4%,15,431,96,1089,1.8%
59,54338,38238,70%,15275,28.1%,213,0.4%,204,0.4%,33,216,159,571,1.1%
60,49363,32464,66%,16300,33%,172,0.3%,119,0.2%,2,193,113,556,1.1%
61,52915,32165,61%,19982,37.8%,186,0.4%,168,0.3%,15,306,93,605,1.1%
62,51936,35400,68%,15212,29.3%,297,0.6%,415,0.8%,34,436,142,912,1.8%
63,45103,16798,37%,27325,60.6%,190,0.4%,326,0.7%,23,258,183,553,1.2%
64,53547,35529,66%,15752,29.4%,388,0.7%,601,1.1%,66,960,251,1787,3.3%
65,58686,50812,87%,5628,9.6%,265,0.5%,1453,2.5%,16,388,124,876,1.5%
66,65093,55396,85%,7085,10.9%,364,0.6%,1497,2.3%,50,554,147,1205,1.9%
67,65610,49248,75%,3929,6%,277,0.4%,9934,15.1%,43,1831,348,4214,6.4%
68,56596,45950,81%,7097,12.5%,304,0.5%,2026,3.6%,33,839,347,1589,2.8%
69,47107,14395,31%,29620,62.9%,204,0.4%,649,1.4%,92,1734,413,2361,5%
70,42545,15151,36%,26314,61.8%,228,0.5%,263,0.6%,15,367,207,574,1.3%
71,48033,20640,43%,25297,52.7%,224,0.5%,1196,2.5%,32,358,286,653,1.4%
72,58744,52834,90%,2800,4.8%,166,0.3%,2416,4.1%,18,384,126,951,1.6%
73,64304,53644,83%,5944,9.2%,275,0.4%,3469,5.4%,27,790,155,1417,2.2%
74,48519,15309,32%,31562,65.1%,691,1.4%,373,0.8%,13,330,241,599,1.2%
75,51900,21544,42%,29744,57.3%,117,0.2%,153,0.3%,21,229,92,511,1%
76,54344,39699,73%,13309,24.5%,340,0.6%,588,1.1%,22,237,149,658,1.2%
77,47229,19967,42%,25965,55%,273,0.6%,543,1.1%,25,241,215,568,1.2%
78,65514,51563,79%,11010,16.8%,444,0.7%,1714,2.6%,48,542,193,1330,2%
79,52100,32340,62%,17599,33.8%,407,0.8%,941,1.8%,68,468,277,1089,2.1%
80,38183,13933,36%,23333,61.1%,277,0.7%,240,0.6%,32,178,190,416,1.1%
81,45836,36365,79%,6666,14.5%,460,1%,1151,2.5%,68,866,260,1871,4.1%
82,50295,45777,91%,2557,5.1%,244,0.5%,1045,2.1%,57,503,112,1267,2.5%
83,49769,33901,68%,12208,24.5%,342,0.7%,2057,4.1%,53,845,363,1757,3.5%
84,55431,38283,69%,11236,20.3%,432,0.8%,3913,7.1%,79,1110,378,2515,4.5%
85,46549,34418,74%,6649,14.3%,306,0.7%,4320,9.3%,57,556,243,1287,2.8%
86,37300,23716,64%,9532,25.6%,497,1.3%,1464,3.9%,60,1698,333,2872,7.7%
87,36939,25708,70%,8072,21.9%,378,1%,1576,4.3%,67,826,312,1546,4.2%
88,45869,30003,65%,12869,28.1%,356,0.8%,1573,3.4%,64,668,336,1251,2.7%
89,39634,12634,32%,25217,63.6%,210,0.5%,974,2.5%,39,312,248,737,1.9%
90,41818,15857,38%,24164,57.8%,212,0.5%,861,2.1%,33,438,253,906,2.2%
91,50229,36219,72%,11446,22.8%,377,0.8%,1126,2.2%,66,687,308,1407,2.8%
92,44915,13192,29%,29726,66.2%,305,0.7%,763,1.7%,41,436,452,977,2.2%
93,54067,34802,64%,15108,27.9%,389,0.7%,2010,3.7%,91,1202,465,2407,4.5%
94,47471,32764,69%,11696,24.6%,323,0.7%,1440,3%,50,856,342,1571,3.3%
95,43894,16471,38%,25756,58.7%,242,0.6%,697,1.6%,32,305,391,779,1.8%
96,56032,43714,78%,9694,17.3%,580,1%,1374,2.5%,58,411,201,996,1.8%
97,63494,52836,83%,8390,13.2%,445,0.7%,1261,2%,37,358,167,943,1.5%
98,54995,42809,78%,10859,19.7%,413,0.8%,493,0.9%,32,236,153,582,1.1%
99,53190,38299,72%,13832,26%,275,0.5%,302,0.6%,24,354,104,784,1.5%
100,51861,36133,70%,13914,26.8%,278,0.5%,157,0.3%,28,1257,94,1802,3.5%
