"County","Precinct
Number","Precinct Name","Total 
Population","White","Black","AIAN","Asian","HawPI","Other","Multi","Hisp.
White","Hisp.
Black","Hisp.
Other","Total
Hispanic"
"Arlington","013002","Ashton Heights",4190,3353,167,22,368,5,256,19,212,7,278,497
"Arlington","013003","Aurora Hills",2391,1991,61,22,203,6,94,14,157,1,106,264
"Arlington","013004","Ballston",2557,2106,64,9,246,1,124,7,157,6,123,286
"Arlington","013005","Barcroft",3942,2533,238,38,265,3,815,50,446,19,871,1336
"Arlington","013006","Crystal City",3860,2828,387,28,521,7,61,28,230,6,69,305
"Arlington","013007","Cherrydale",3889,3273,196,10,326,1,55,28,214,7,59,280
"Arlington","013008","Hume",5432,3941,284,35,1032,5,99,36,302,11,100,413
"Arlington","013009","Columbia",4590,2842,802,37,419,7,424,59,413,21,459,893
"Arlington","013010","Wilson",5927,4293,360,43,898,12,281,40,438,28,310,776
"Arlington","013011","East Falls Church",2549,2171,77,28,205,12,50,6,99,4,53,156
"Arlington","013012","Fairlington",3093,2850,81,9,117,2,28,6,146,4,23,173
"Arlington","013013","Glen Carlyn",2751,1713,206,24,530,2,252,24,244,5,266,515
"Arlington","013014","Clarendon",2801,2361,71,7,324,0,26,12,99,0,26,125
"Arlington","013015","Lyon Park",3796,2993,190,16,415,6,160,16,219,10,164,393
"Arlington","013016","Lyon Village",3705,3184,111,15,303,4,76,12,209,2,77,288
"Arlington","013017","Overlee Knolls",3765,3311,63,14,317,2,39,19,160,7,34,201
"Arlington","013018","Park Lane",6538,4695,695,28,853,18,213,36,452,23,207,682
"Arlington","013019","Rosslyn",5564,3945,268,34,1135,8,128,46,327,14,121,462
"Arlington","013020","Thrifton",3502,3231,56,17,180,0,11,7,154,10,21,185
"Arlington","013021","Virginia Highlands",5059,3670,618,30,621,6,72,42,293,16,82,391
"Arlington","013022","Abingdon",3738,3069,235,13,223,0,177,21,169,13,175,357
"Arlington","013023","Westover",2947,2253,180,29,270,7,175,33,206,9,200,415
"Arlington","013024","Woodlawn",5228,3690,621,26,509,4,331,47,404,12,342,758
"Arlington","013025","Arlington Forest",3420,2594,194,43,297,13,241,38,259,8,265,532
"Arlington","013026","Fillmore",5109,3137,897,39,573,9,391,63,482,33,401,916
"Arlington","013027","Jefferson",4429,3069,273,49,501,9,481,47,500,10,518,1028
"Arlington","013028","Claremont",5801,3292,886,60,662,11,809,81,883,26,873,1782
"Arlington","013029","Dominion Hills",3565,3106,52,25,290,4,81,7,174,2,76,252
"Arlington","013030","Glebe",4929,1939,1724,74,354,5,740,93,538,28,814,1380
"Arlington","013031","Lexington",3667,3017,238,26,238,1,129,18,145,7,141,293
"Arlington","013032","Oakridge",5216,3356,896,42,500,13,372,37,382,13,379,774
"Arlington","013033","Rock Spring",3733,3447,43,22,182,0,33,6,143,0,26,169
"Arlington","013034","Yorktown",3375,2996,101,13,200,0,57,8,165,1,66,232
"Arlington","013035","Madison",3890,3589,68,16,183,4,25,5,118,6,21,145
"Arlington","013036","Marshall",4661,3919,282,18,323,4,86,29,200,16,100,316
"Arlington","013037","Nottingham",3321,2977,54,19,222,1,40,8,152,1,45,198
"Arlington","013038","Arlington View",4740,2021,1384,52,865,4,357,57,323,25,370,718
"Arlington","013039","Ashlawn",2605,1907,147,30,296,1,203,21,266,4,232,502
"Arlington","013040","Virginia Square",4168,3350,158,17,559,3,50,31,188,4,55,247
"Arlington","013041","Woodbury",5075,3503,310,34,699,8,466,55,439,25,511,975
"Arlington","013042","Shirlington",3461,2507,328,27,295,1,263,40,293,8,292,593
"Arlington","013043","Arlington Mill",6651,2618,1168,98,847,23,1784,113,1733,81,1912,3726
"Arlington","013044","Dawson",3065,2416,137,13,402,4,78,15,183,2,80,265
"Arlington","013045","Buckingham",6426,3794,601,225,623,5,1084,94,751,34,1339,2124
"Arlington","013046","Central",4939,3923,183,26,730,4,55,18,199,9,51,259
"Arlington","013047","Four Mile Run",2843,1493,494,24,374,7,410,41,364,23,451,838
"Arlington","013048","Courtlands",3033,2500,67,9,409,1,35,12,134,5,32,171
"Arlington","013049","Monroe",2387,1784,186,12,317,3,76,9,146,2,80,228
"Arlington","013050","Crystal Plaza",4609,3408,451,23,596,10,80,41,269,20,84,373
"Arlington","013051","Taylor",905,761,11,2,115,0,14,2,19,1,13,33
"Augusta","015101","Jolivue",2463,2282,118,14,41,3,4,1,28,1,5,34
"Augusta","015102","Expo",3178,2863,249,19,27,0,17,3,56,10,18,84
"Augusta","015103","Verona",5353,4807,388,36,36,1,78,7,101,10,80,191
"Augusta","015201","Crimora",4839,4581,140,51,22,0,39,6,49,1,40,90
"Augusta","015202","New Hope",2623,2542,37,8,6,0,29,1,21,4,22,47
"Augusta","015203","Weyers Cave",3848,3614,71,18,31,2,103,9,169,3,104,276
"Augusta","015301","Fort Defiance",3976,3852,67,21,7,2,24,3,23,14,21,58
"Augusta","015302","North River",1559,1482,18,5,1,0,52,1,37,4,53,94
"Augusta","015303","Mount Solon",2110,2048,30,9,12,0,8,3,20,2,11,33
"Augusta","015304","Churchville Fire Station",1556,1525,22,4,3,0,2,0,11,0,1,12
"Augusta","015401","Buffalo Gap",1987,1926,31,7,11,0,12,0,7,1,8,16
"Augusta","015402","Churchville School",1962,1920,23,1,10,2,1,5,7,0,3,10
"Augusta","015403","Craigsville",3071,2319,690,11,16,0,35,0,9,0,33,42
"Augusta","015404","Deerfield",644,619,8,11,0,2,3,1,2,0,3,5
"Augusta","015405","Cedar Green",2134,1962,124,5,19,2,11,11,21,2,7,30
"Augusta","015501","Greenville",3090,2845,180,30,19,0,13,3,19,1,16,36
"Augusta","015502","Middlebrook",1569,1524,21,7,8,3,5,1,5,0,5,10
"Augusta","015503","Spottswood",1760,1726,17,6,7,0,3,1,10,0,3,13
"Augusta","015504","White Hill",3488,3350,54,37,24,2,18,3,16,0,25,41
"Augusta","015601","Sherando",2533,2395,96,15,10,1,15,1,13,0,16,29
"Augusta","015602","Stuarts Draft",5452,5218,158,20,27,6,20,3,40,3,22,65
"Augusta","015603","Lyndhurst",2495,2330,104,12,22,1,25,1,29,5,28,62
"Augusta","015801","Dooms",2944,2843,54,11,14,0,20,2,42,0,14,56
"Augusta","015802","Fishersville",4811,4451,225,20,68,0,35,12,43,2,36,81
"Augusta","015803","Wilson",4305,3824,356,22,54,3,40,6,59,8,43,110
"Bath","017101","Warm Springs",664,590,64,3,3,0,3,1,21,3,2,26
"Bath","017102","Mountain Grove",139,137,0,0,2,0,0,0,2,0,0,2
"Bath","017201","Hot Springs",992,846,130,6,6,0,1,3,19,5,2,26
"Bath","017301","Fairview",642,626,0,4,2,0,10,0,6,0,10,16
"Bath","017302","Burnsville",287,287,0,0,0,0,0,0,0,0,0,0
"Bath","017401","Millboro",966,930,25,0,0,0,11,0,3,0,8,11
"Bath","017501","Healing Springs",1041,1016,17,3,0,0,3,2,18,1,1,20
"Bedford","019101","Goodview Elem School",6191,5993,85,49,37,4,21,2,72,9,24,105
"Bedford","019102","Hardy Fire & Rescue Bldg",1396,1349,20,13,3,0,10,1,16,0,10,26
"Bedford","019103","Chamblissburg First Aid Bldg",1470,1370,76,15,2,0,6,1,5,0,5,10
"Bedford","019202","Staunton River High School",2575,2366,153,18,16,0,16,6,35,0,16,51
"Bedford","019203","Moneta Elem School",4830,4474,253,30,36,0,22,15,63,4,25,92
"Bedford","019204","Body Camp Elem School",756,662,90,2,2,0,0,0,3,0,1,4
"Bedford","019205","Saunders Vol Fire Dept",2222,2155,31,15,12,5,4,0,14,0,4,18
"Bedford","019301","New London Academy",4460,4066,229,24,124,3,7,7,92,5,11,108
"Bedford","019302","Bedford County Psa",2384,2072,270,21,12,0,8,1,13,1,10,24
"Bedford","019303","Bethesda Methodist Church",1252,1140,97,6,4,0,5,0,10,0,5,15
"Bedford","019304","Forest Youth Athletic Assoc.",1401,1288,87,5,6,1,14,0,27,1,8,36
"Bedford","019305","Huddleston Elem School",1391,1187,176,11,4,0,11,2,4,0,7,11
"Bedford","019401","Forest Elem School",3455,3056,193,7,166,1,28,4,63,0,24,87
"Bedford","019402","Thomas Jefferson Elem School",4621,4099,371,11,106,2,25,7,65,7,29,101
"Bedford","019403","Knights Of Columbus Bldg",3371,3037,197,0,113,1,15,8,76,2,12,90
"Bedford","019502","Big Island Elem School",1104,978,105,14,2,0,3,2,6,0,1,7
"Bedford","019503","Sedalia Center",1356,1216,117,14,0,0,7,2,11,0,6,17
"Bedford","019504","Odd Fellows Hall",514,459,49,4,0,1,0,1,6,0,0,6
"Bedford","019505","Boonsboro Elem School",2762,2476,225,7,36,1,14,3,21,0,9,30
"Bedford","019506","Boonsboro Ruritan Club",2880,2593,183,14,66,0,21,3,21,0,19,40
"Bedford","019507","Pleasant View",431,319,78,0,7,0,27,0,14,0,27,41
"Bedford","019601","Montvale Elem School",2537,2433,66,19,13,0,6,0,19,5,5,29
"Bedford","019602","Shady Grove Baptist Church",2986,2897,31,16,22,0,18,2,16,7,16,39
"Bedford","019603","Thaxton Elem School",2608,2448,111,24,13,0,10,2,13,0,9,22
"Bedford","019604","Saunders Grove Brethren Church",506,498,1,3,3,0,1,0,1,0,0,1
"Bedford","019701","Goode Rescue Squad",2626,2447,124,14,27,0,12,2,20,0,10,30
"Bedford","019702","Liberty High School",2990,2538,410,19,13,1,6,3,12,0,5,17
"Bedford","019703","Bedford Christian Church",2719,2375,285,24,7,4,14,10,20,0,11,31
"Bedford","019704","Suck Springs",882,784,90,3,3,0,0,2,2,0,0,2
"Bland","021101","Bastian",891,872,8,8,2,0,1,0,1,0,4,5
"Bland","021102","Ceres",885,881,1,0,2,0,0,1,0,0,0,0
"Bland","021201","Davis",280,270,7,1,0,0,2,0,2,0,2,4
"Bland","021202","Seddon",1472,1449,2,5,13,1,2,0,2,0,1,3
"Bland","021301","Hollybrook",716,697,11,6,0,0,1,1,4,0,2,6
"Bland","021302","Mechanicsburg",1011,855,154,1,0,0,1,0,10,0,1,11
"Bland","021401","Rocky Gap",1569,1493,63,5,2,0,6,0,4,0,6,10
"Botetourt","023101","Amsterdam",2353,2144,155,10,28,3,12,1,45,7,15,67
"Botetourt","023102","Asbury",3851,3714,63,30,39,0,2,3,33,4,1,38
"Botetourt","023104","Troutville",1394,1318,20,11,31,0,6,8,16,0,8,24
"Botetourt","023201","Blue Ridge",3329,3184,100,17,21,0,6,1,20,0,5,25
"Botetourt","023202","Rainbow Forest",2848,2746,56,9,27,1,5,4,20,0,4,24
"Botetourt","023301","Buchanan",2571,2474,59,31,4,0,1,2,15,0,2,17
"Botetourt","023302","Mill Creek",1592,1513,48,12,12,0,4,3,18,0,2,20
"Botetourt","023303","Roaring Run",742,706,21,13,0,0,0,2,0,0,1,1
"Botetourt","023304","Springwood",1401,1349,33,13,5,0,1,0,6,0,0,6
"Botetourt","023402","Courthouse",2658,2480,158,8,2,0,7,3,22,0,7,29
"Botetourt","023403","Eagle Rock",1291,1259,23,6,0,0,3,0,15,0,0,15
"Botetourt","023404","Glen Wilton",1001,918,65,12,5,0,1,0,5,0,1,6
"Botetourt","023405","Oriskany",94,91,2,1,0,0,0,0,0,0,0,0
"Botetourt","023406","Town Hall",1707,1652,21,10,9,1,14,0,7,0,17,24
"Botetourt","023501","Coyner Springs",1867,1723,113,10,13,0,6,2,13,3,5,21
"Botetourt","023502","Cloverdale",4449,4198,179,17,43,0,11,1,22,4,13,39
"Brunswick","025101","Brodnax",844,396,416,4,3,0,19,6,3,3,19,25
"Brunswick","025102","Rock Store",1303,798,476,9,8,0,12,0,9,4,10,23
"Brunswick","025103","Tillman",1147,757,385,5,0,0,0,0,7,4,1,12
"Brunswick","025201","Dromgoole",523,300,218,1,1,0,3,0,3,4,3,10
"Brunswick","025202","Edgerton",1546,439,1056,3,10,0,30,8,35,1,32,68
"Brunswick","025203","Fitzhugh",1064,396,657,5,1,0,2,3,0,1,1,2
"Brunswick","025301","Alberta",298,177,115,4,0,0,2,0,0,0,1,1
"Brunswick","025302","Danieltown",1480,762,685,11,3,0,10,9,14,2,10,26
"Brunswick","025303","Elmore",653,290,354,3,1,0,0,5,3,3,0,6
"Brunswick","025304","Seymour",649,350,290,2,4,0,3,0,3,0,3,6
"Brunswick","025401","Sturgeon",4123,1342,2713,10,10,3,36,9,20,8,38,66
"Brunswick","025402","King's Store",675,199,463,0,4,0,5,4,2,1,7,10
"Brunswick","025501","Lawrenceville",3129,842,2237,7,11,4,16,12,6,18,19,43
"Buchanan","027102","Blackey",906,900,2,0,1,0,0,3,2,0,0,2
"Buchanan","027103","Hurley",2507,2495,4,4,0,1,1,2,2,0,1,3
"Buchanan","027201","Grassy",349,337,7,0,5,0,0,0,0,0,0,0
"Buchanan","027202","Bull",1400,1396,2,0,1,0,1,0,2,0,0,2
"Buchanan","027203","Rocklick",1830,1817,8,2,3,0,0,0,3,0,0,3
"Buchanan","027301","Slate",1788,1776,2,9,0,0,1,0,5,0,1,6
"Buchanan","027302","North Grundy",1696,1645,9,9,21,0,7,5,5,0,6,11
"Buchanan","027403","South Grundy",2451,2292,113,12,15,0,14,5,14,6,12,32
"Buchanan","027404","Oakwood",1635,1130,485,1,13,4,2,0,9,0,0,9
"Buchanan","027501","Prater",1577,1573,0,2,2,0,0,0,5,0,0,5
"Buchanan","027502","Fox",327,326,0,1,0,0,0,0,0,0,0,0
"Buchanan","027503","Vansant",1195,1192,0,3,0,0,0,0,4,0,0,4
"Buchanan","027601","Council",980,972,4,4,0,0,0,0,1,0,0,1
"Buchanan","027602","Garden",1219,1206,0,9,2,0,2,0,4,0,2,6
"Buchanan","027603","Hurricane",1011,1007,0,4,0,0,0,0,1,0,0,1
"Buchanan","027701","Whitewood",2029,2020,2,6,1,0,0,0,4,0,0,4
"Buchanan","027702","Contrary",1198,1187,1,8,1,0,1,0,5,0,1,6
"Buckingham","029101","New Canton",2273,1374,850,10,4,0,32,3,11,5,29,45
"Buckingham","029201","White Hall",3410,1618,1747,12,7,2,20,4,38,11,18,67
"Buckingham","029301","Curdsville",1309,885,410,11,3,0,0,0,11,2,0,13
"Buckingham","029302","New Store",1077,808,245,5,1,1,17,0,5,4,18,27
"Buckingham","029401","Maysville",2272,1586,644,14,10,0,7,11,12,0,5,17
"Buckingham","029501","Wrights",1295,991,270,13,11,0,7,3,28,0,4,32
"Buckingham","029502","Glenmore",1423,1097,276,9,18,0,17,6,30,0,10,40
"Buckingham","029601","Slate River",2883,1619,1218,12,11,2,7,14,14,14,13,41
"Buckingham","029701","Gold Hill",1204,666,515,5,4,0,7,7,1,0,5,6
"Campbell","031101","Brookville",3857,3389,274,20,119,0,41,14,47,0,36,83
"Campbell","031102","New London",3577,3171,240,24,93,1,27,21,34,0,25,59
"Campbell","031201","Walker",5278,4318,602,20,181,1,138,18,88,1,136,225
"Campbell","031202","Bedford Springs",3184,2792,293,19,39,8,20,13,33,4,25,62
"Campbell","031301","Evington",1728,1472,212,20,3,3,11,7,2,5,10,17
"Campbell","031302","Lynch Station",2444,2008,411,8,7,0,9,1,5,1,4,10
"Campbell","031303","Altavista",3452,2417,935,22,23,1,41,13,16,4,37,57
"Campbell","031401","Three Forks",3391,3025,317,17,6,1,20,5,7,0,18,25
"Campbell","031402","Court House",4789,4033,658,26,32,0,26,14,36,2,24,62
"Campbell","031501","Spring Hill",4015,3372,557,35,23,3,21,4,51,4,17,72
"Campbell","031502","Yellow Branch",3621,2976,570,28,25,0,15,7,21,5,13,39
"Campbell","031601","Airport",2376,2052,229,12,51,3,26,3,32,1,25,58
"Campbell","031602","Kings",2066,1621,401,22,3,0,10,9,6,0,7,13
"Campbell","031603","Concord",4040,3365,590,19,10,3,39,14,37,3,41,81
"Campbell","031701","Brookneal",2824,1963,832,18,0,0,11,0,6,4,11,21
"Campbell","031702","Gladys",3138,2291,783,25,9,0,11,19,8,4,11,23
"Campbell","031703","Morris Church",1062,759,279,11,0,0,11,2,0,0,11,11
"Caroline","033101","Bowling Green",4738,3367,1169,98,32,1,34,37,47,8,39,94
"Caroline","033201","Madison",8285,6131,1746,106,115,15,120,52,269,46,131,446
"Caroline","033301","Port Royal",1581,1053,459,12,16,5,31,5,24,13,38,75
"Caroline","033302","Chilesburg",763,584,150,16,8,0,2,3,11,3,8,22
"Caroline","033303","Woodford",2484,1824,576,21,8,0,46,9,23,1,32,56
"Caroline","033401","Reedy Church",4663,2397,2172,38,20,3,17,16,34,12,16,62
"Caroline","033402","Penola",363,301,52,3,2,0,5,0,5,0,5,10
"Caroline","033501","Mattaponi",5668,2992,2375,73,51,5,76,96,91,15,88,194
"Carroll","035101","Mount Bethel",1689,1598,25,12,1,2,50,1,8,0,48,56
"Carroll","035102","St Paul",2096,2047,24,12,2,0,11,0,8,0,15,23
"Carroll","035103","Lambsburg",1055,1039,5,1,5,0,5,0,19,0,4,23
"Carroll","035104","Oakland A",1394,1370,6,3,7,0,8,0,8,0,6,14
"Carroll","035201","Hillsville B",2941,2903,6,10,7,4,11,0,50,0,12,62
"Carroll","035202","Laurel Fork",1143,1112,9,5,6,0,11,0,10,0,10,20
"Carroll","035203","Gladesboro",1676,1641,3,12,4,0,16,0,14,0,21,35
"Carroll","035301","Hillsville C",3581,3514,25,9,20,0,13,0,59,1,17,77
"Carroll","035302","Sylvatus",1338,1320,15,0,2,0,0,1,20,0,0,20
"Carroll","035303","Dugspur",723,713,0,5,1,0,4,0,8,0,5,13
"Carroll","035401","Hillsville D",841,821,2,3,0,0,14,1,7,0,14,21
"Carroll","035402","Woodlawn D",3007,2857,53,10,7,1,72,7,36,0,78,114
"Carroll","035403","Oakland D",1661,1488,14,4,6,0,149,0,32,1,149,182
"Carroll","035404","Fancy Gap",886,864,1,1,7,0,13,0,10,0,13,23
"Carroll","035501","Vaughn",1046,1025,7,12,0,0,2,0,3,0,1,4
"Carroll","035502","Gladeville",2244,2193,26,12,0,0,13,0,33,0,16,49
"Carroll","035503","Woodlawn E",1304,1276,9,10,1,0,8,0,11,0,8,19
"Carroll","035504","Laurel",1417,1387,13,5,0,0,12,0,12,0,9,21
"Charles City","036101","Precinct 1-1",2561,1293,1104,114,12,5,9,24,13,0,10,23
"Charles City","036201","Precinct 2-1",2260,660,1137,390,12,0,22,39,11,0,38,49
"Charles City","036301","Precinct 3-1",2435,1017,1316,58,9,1,14,20,7,2,7,16
"Charlotte","037101","County Seat",1921,1323,531,21,11,0,32,3,27,1,30,58
"Charlotte","037201","Red Oak Wylliesburg",1659,1079,538,10,1,0,26,5,15,2,24,41
"Charlotte","037302","Drakes Branch",1843,1238,578,11,0,0,11,5,18,0,6,24
"Charlotte","037401","Keysville",1804,1271,472,13,10,0,35,3,2,0,44,46
"Charlotte","037501","Cullen",1007,753,235,7,7,0,4,1,3,1,3,7
"Charlotte","037503","Red House",1092,633,438,15,3,0,0,3,1,6,0,7
"Charlotte","037601","Aspen",746,529,204,3,1,0,1,8,1,0,6,7
"Charlotte","037602","Phenix",952,717,221,6,2,0,4,2,2,0,1,3
"Charlotte","037701","Bacon",556,377,160,4,0,0,15,0,1,0,15,16
"Charlotte","037702","Saxe",1006,547,436,5,1,0,16,1,14,4,13,31
"Chesterfield","041101","Bellwood",3809,2647,693,58,83,10,294,24,225,17,305,547
"Chesterfield","041102","South Chester",5788,3938,1083,60,86,4,570,47,359,34,598,991
"Chesterfield","041103","Enon",4893,3802,804,21,160,1,80,25,96,18,82,196
"Chesterfield","041104","North Chester",4875,4065,531,41,101,4,114,19,111,8,127,246
"Chesterfield","041105","Drewry's Bluff",9469,3670,3396,118,238,15,1942,90,827,118,2005,2950
"Chesterfield","041106","Harrowgate",7023,4305,2236,66,194,7,147,68,179,45,178,402
"Chesterfield","041107","Wells",4847,2642,1755,44,243,4,119,40,121,40,120,281
"Chesterfield","041108","Ecoff",5975,4641,991,37,165,5,94,42,145,10,104,259
"Chesterfield","041109","Elizabeth Scott",7077,4492,1521,42,761,11,179,71,227,45,184,456
"Chesterfield","041110","Dutch Gap",2849,1899,724,14,153,8,31,20,61,8,39,108
"Chesterfield","041111","Iron Bridge",6131,4123,1657,32,163,14,101,41,87,34,82,203
"Chesterfield","041112","Carver",3860,2442,1166,24,109,9,65,45,93,15,66,174
"Chesterfield","041201","Gates",5053,3412,1279,64,84,4,177,33,100,13,187,300
"Chesterfield","041202","Beulah",5050,2388,1860,45,165,15,544,33,165,33,584,782
"Chesterfield","041203","Bird",4028,2224,1257,41,55,2,424,25,129,27,438,594
"Chesterfield","041204","Jacobs",2953,1923,856,9,70,3,55,37,47,14,54,115
