"Precinct
Number","Precinct Name","Total
Population","White","Black","Am.
Ind","Asian","HawPI.","Other","Multi-
Race","Hisp.","Hisp.
White","Hisp.
Black","Hisp.
Other"
"047501","Jeffersonton*",3813,3322,406,29,18,1,16,21,63,41,0,22
"047502","Rixeyville*",2194,2033,135,13,7,0,4,2,10,7,0,3
"047601","Mitchells*",2288,1157,1096,12,10,0,13,0,21,6,2,13
"047602","Pearl Sample*",3428,2577,719,25,38,0,58,11,113,54,0,59
"047702","Brandy Station*",3000,2091,780,18,18,0,85,8,141,56,2,83
"047703","Lignum*",1251,924,255,6,22,0,41,3,45,4,0,41
"047704","Richardsville*",649,575,62,8,2,0,2,0,5,3,0,2
"049101","Precinct 1-1*",907,641,253,4,0,0,9,0,14,4,1,9
"049102","Precinct 1-2*",720,378,323,2,2,0,15,0,15,0,0,15
"049201","Precinct 2*",1866,1295,537,22,4,0,6,2,22,18,1,3
"049301","Precinct 3*",1978,833,1121,5,3,0,13,3,47,21,15,11
"049401","Precinct 4*",1734,1198,483,18,17,0,14,4,30,5,3,22
"049501","Precinct 5*",1812,1099,687,5,14,0,5,2,22,10,7,5
"051101","South Clintwood*",3495,3467,3,11,5,0,9,0,14,9,0,5
"051201","Nora*",1045,1032,0,10,2,0,0,1,0,0,0,0
"051202","Frying Pan*",489,487,0,2,0,0,0,0,7,7,0,0
"051203","Clinchco*",1475,1432,38,0,4,0,1,0,10,10,0,0
"051301","West Dante",495,491,3,1,0,0,0,0,3,3,0,0
"051302","Herald",1161,1157,1,3,0,0,0,0,6,6,0,0
"051303","Ridge",1058,1052,2,0,0,0,0,4,5,5,0,0
"051304","Longs Fork*",858,857,0,1,0,0,0,0,1,1,0,0
"051401","Colley*",1515,1510,1,2,0,0,2,0,1,1,0,0
"051402","Haysi",1388,1368,9,3,1,0,4,3,14,11,0,3
"051501","Tarpon",831,827,2,1,0,0,1,0,3,3,0,0
"051502","Artrip*",1110,1092,5,8,1,0,2,2,0,0,0,0
"051503","North Clintwood*",1475,1452,3,9,8,0,1,2,6,5,0,1
"053101","Darvills*",965,811,143,4,3,1,1,2,1,0,0,1
"053102","White Oak*",832,645,174,7,0,0,4,2,4,0,0,4
"053103","Church Road*",2333,1879,420,15,8,0,6,5,12,8,1,3
"053104","Five Forks*",939,744,181,3,2,0,6,3,8,2,0,6
"053201","Rohoic*",1469,980,468,12,3,0,5,1,31,23,1,7
"053202","Chesdin*",3682,2591,1017,19,15,1,36,3,48,16,4,28
"053301","Edgehill*",3729,2043,1612,18,27,2,20,7,36,11,9,16
"053302","New Hope*",2556,1886,598,17,20,6,16,13,43,21,5,17
"053401","Dinwiddie*",3055,1618,1404,4,13,1,10,5,19,4,7,8
"053402","Reams*",976,521,437,6,6,0,2,4,6,4,0,2
"053501","Cherry Hill*",962,451,507,0,3,1,0,0,2,1,1,0
"053502","Mckenney*",1543,835,688,3,5,5,3,4,24,9,8,7
"053503","Rocky Run*",1492,833,651,2,3,0,0,3,3,3,0,0
"057101","Greater Tappahannock*",2698,1549,1069,4,59,0,6,11,11,5,3,3
"057201","North*",2314,753,1473,48,7,1,20,12,25,2,10,13
"057301","South*",2412,1730,639,23,9,0,3,8,17,11,4,2
"057401","Central*",2565,1758,762,12,14,2,11,6,19,10,4,5
"059102","Bristow*",4931,2245,483,27,1471,8,638,59,967,355,19,593
"059104","Chapel*",3096,2685,61,7,278,3,45,17,170,135,0,35
"059105","Fairview*",6872,5296,385,39,817,6,271,58,526,274,7,245
"059106","Heritage*",8727,4249,693,70,2750,0,853,112,1657,845,21,791
"059108","Kings Park*",4391,3325,170,22,686,6,167,15,337,177,5,155
"059109","Olde Creek*",3173,2673,56,6,359,4,55,20,175,110,0,65
"059110","North Springfield # 1*",2063,1512,68,8,372,9,84,10,163,88,0,75
"059111","North Springfield # 2*",3316,2013,214,19,684,10,346,30,578,262,1,315
"059112","North Springfield # 3*",2801,1964,185,8,454,1,184,5,232,97,0,135
"059113","Oak Hill*",2968,2434,46,19,416,4,41,8,80,46,0,34
"059115","Ravensworth*",2354,1909,36,4,341,2,44,18,114,70,0,44
"059116","Wakefield*",2927,2578,45,7,270,5,22,0,125,114,0,11
"0591171","Woodson Part 1",3852,2672,547,14,463,6,110,40,162,67,9,86
"0591172","Woodson Part 2",1009,594,19,4,346,0,32,14,63,32,0,31
"059118","Lake Braddock*",6995,4742,411,41,1333,9,413,46,964,548,20,396
"059119","Laurel*",5780,4333,320,19,871,10,185,42,373,221,7,145
"059120","Sideburn*",4166,3608,108,7,363,11,45,24,148,105,0,43
"059121","Villa*",2777,1967,195,39,408,0,133,35,260,133,6,121
"059122","Long Branch*",2184,1833,33,4,298,0,12,4,41,34,0,7
"059123","Robinson*",6285,4719,325,10,1017,11,167,36,375,230,6,139
"059124","Olley*",2454,1960,34,8,409,4,31,8,67,50,2,15
"059125","Signal Hill*",4207,3170,140,7,799,0,77,14,182,111,1,70
"059126","Bonnie Brae*",3377,2338,316,16,547,4,129,27,332,196,18,118
"059198","Fairfax A",1075,520,495,0,27,0,33,0,169,123,13,33
"059201","Colvin*",3149,2549,103,19,372,0,92,14,71,48,1,22
"059202","Flint Hill",5728,4724,143,21,630,1,181,28,436,328,6,102
"059208","Reston #1*",6302,4643,633,29,714,5,228,50,643,415,15,213
"059209","Reston #2*",4726,3206,551,26,461,5,414,63,629,245,5,379
"059213","Vienna #1",5229,4389,115,23,528,0,149,25,298,194,5,99
"059214","Vienna #2",3941,3375,75,22,395,1,61,12,130,81,4,45
"059216","Vienna #4",2366,1688,32,13,316,2,305,10,503,207,3,293
"059218","Vienna #6*",2917,2270,300,5,285,0,40,17,137,116,1,20
"059219","Westbriar",4610,3596,147,14,677,1,153,22,222,139,7,76
"059220","Dogwood*",7716,3879,1285,40,1590,3,821,98,1504,689,32,783
"059221","Hunters Woods*",3157,2871,135,8,108,2,15,18,50,44,0,6
"059222","Reston #3*",3225,2289,325,21,299,3,265,23,452,196,5,251
"059223","Glade*",5144,4097,542,27,301,3,137,37,319,170,16,133
"059224","South Lakes",5315,4634,298,17,245,5,86,30,193,129,7,57
"059225","Terraset*",7022,4284,909,55,1030,8,652,84,1376,683,43,650
"059226","Wolftrap",4431,4028,42,5,320,0,34,2,133,117,0,16
"059227","Sunrise Valley",2373,2011,101,9,233,0,18,1,68,54,0,14
"059229","Fox Mill*",6149,5192,233,20,575,13,101,15,247,179,4,64
"059233","North Point*",5601,4618,397,26,411,6,116,27,272,190,7,75
"059234","Aldrin*",7069,6054,303,9,616,2,77,8,222,168,9,45
"059299","Floris 203/Frying Pan 235",14652,9344,1186,33,3271,12,666,140,1234,619,30,585
"059301","Chain Bridge*",4537,3726,82,20,614,1,77,17,197,152,4,41
"059302","Chesterbrook*",3187,2881,56,12,197,0,29,12,80,67,5,8
"059303","Churchill*",2131,1658,14,5,414,0,32,8,77,53,0,24
"059304","Cooper*",5268,4473,55,4,642,3,78,13,153,139,0,14
"059305","El Nido*",2891,2513,68,7,242,0,54,7,120,82,5,33
"059306","Great Falls*",2442,2285,21,2,114,0,19,1,47,41,4,2
"059307","Haycock*",2946,2644,41,8,223,0,26,4,127,106,2,19
"059309","Kenmore*",4579,3585,138,8,743,0,78,27,124,98,2,24
"059310","Kirby",2790,2269,58,4,413,3,35,8,136,123,0,13
"059311","Langley*",2847,2366,37,3,362,6,68,5,95,83,0,12
"059312","Longfellow*",3159,2635,40,10,447,0,22,5,121,95,0,26
"059314","Mclean",3011,2472,45,6,404,0,73,11,128,89,2,37
"059315","Pimmit*",5357,3889,159,36,652,10,564,47,980,476,4,500
"059316","Salona*",3491,3021,110,8,309,0,36,7,144,122,0,22
"059317","Westhampton*",2926,2550,63,6,244,4,51,8,172,129,4,39
"059318","Westmoreland*",1826,1472,34,3,285,0,31,1,83,63,0,20
"059319","Herndon #1*",4102,2644,290,22,615,5,457,69,662,222,9,431
"059320","Herndon #2*",10508,5731,1156,79,1631,7,1758,146,2749,1004,37,1708
"059321","Clearview*",6148,5016,300,47,620,9,113,43,246,163,0,83
"059322","Forestville",3765,3313,53,17,311,2,51,18,90,74,1,15
"059323","Shouse*",2633,2182,38,7,341,1,58,6,55,30,0,25
"059324","Herndon #3*",7052,4160,692,50,970,1,1090,89,2222,1138,18,1066
"059325","Hutchison*",3952,2042,561,18,646,4,621,60,982,386,10,586
"059326","Stuart*",1865,1424,134,5,209,0,81,12,128,56,6,66
"059327","Sugarland*",4483,3573,247,8,530,6,98,21,178,103,4,71
"059328","Hickory*",3933,3331,60,15,477,1,34,15,122,92,2,28
"059329","Seneca",4326,3698,145,5,445,1,18,14,93,80,7,6
"059401","Bush Hill*",4066,3200,342,27,291,4,172,30,307,148,7,152
"059402","Cameron",4798,3665,405,22,341,4,333,28,636,293,11,332
"059404","Franconia*",4758,3313,607,19,633,8,125,53,350,258,8,84
"059405","Groveton",10760,4479,3382,95,985,12,1668,139,2917,1160,68,1689
"059408","Mount Eagle*",7382,4194,1389,45,810,8,826,110,1472,607,40,825
"059409","Pioneer*",7256,4469,834,27,1484,1,408,33,833,413,13,407
"059410","Rose Hill",6194,4205,738,37,814,6,336,58,661,328,24,309
"059411","Virginia Hills",4458,3233,460,16,415,7,300,27,577,297,5,275
"059415","Crestwood*",4501,2997,191,32,647,6,601,27,1164,545,17,602
"059417","Garfield*",8239,4491,834,27,2320,6,472,89,919,446,37,436
"059418","Lynbrook*",4392,2188,215,23,1041,7,854,64,1393,509,18,866
"059419","Beulah*",8510,5337,1286,52,1270,12,471,82,994,529,26,439
"059420","Villages*",4934,3477,801,19,460,4,136,37,259,138,10,111
"059421","Kingstowne*",5002,3647,636,24,540,13,92,50,231,126,27,78
"059422","Van Dorn*",4676,3016,727,25,707,7,158,36,334,178,11,145
"059499","Hayfield 406/Woodlawn 412/Fairfield 413",22588,10616,7569,125,1803,41,2085,349,3692,1506,110,2076
"059501","Baileys",6178,3054,1009,38,849,3,1124,101,2143,953,62,1128
"059502","Barcroft*",3838,3175,64,27,379,1,171,21,376,219,1,156
"059503","Belvedere*",2141,1801,40,11,153,0,126,10,316,183,7,126
"059505","Glen Forest*",7280,4023,618,43,1230,13,1217,136,2482,1337,28,1117
"059506","Holmes*",9156,3463,575,75,1426,6,3400,211,5041,1581,43,3417
"059507","Lincolnia*",6144,3222,1057,13,730,6,1016,100,1671,737,16,918
"059508","Masonville*",2962,2156,63,13,450,3,253,24,417,182,1,234
"059510","Parklawn*",3216,2121,114,16,675,1,243,46,445,238,5,202
"059511","Ravenwood*",2101,1788,62,13,191,2,38,7,159,126,2,31
"059512","Sleepy Hollow*",1849,1519,21,2,212,0,91,4,207,117,0,90
"059513","Saint Albans*",3711,2722,326,18,512,1,116,16,293,183,1,109
"059515","Westlawn*",2856,1755,52,14,527,0,482,26,908,409,5,494
"059516","Weyanoke*",6428,2176,1836,21,1170,0,1019,206,1416,484,27,905
"059517","Willston*",5967,2690,419,36,1361,2,1361,98,2791,1406,22,1363
"059518","Columbia*",6235,3132,543,28,1543,10,894,85,1631,743,24,864
"059519","Hummer*",2736,1922,136,7,559,0,81,31,232,172,4,56
"059520","Skyline",6319,3852,906,26,672,20,720,123,407,276,23,108
"059521","Brook Hill",3541,2374,178,16,663,7,270,33,487,259,1,227
"059522","Camelot*",1825,1627,43,6,120,0,25,4,51,33,1,17
"059523","Poe",3668,2492,269,20,645,13,166,63,417,244,14,159
"059524","Whittier*",3825,1998,197,35,1167,7,393,28,683,299,8,376
"059525","Walnut Hill # 1*",1367,779,38,5,417,0,128,0,207,67,9,131
"059526","Bren Mar*",4247,2290,781,34,620,4,410,108,853,451,26,376
"059527","Edsall*",2603,1734,179,10,564,4,102,10,253,147,6,100
"059528","Ridgelea*",1647,1344,32,5,243,0,11,12,73,62,0,11
"059601","Belle Haven*",3237,2633,341,18,112,2,115,16,222,108,4,110
"059602","Belleview",2588,2351,108,15,62,2,33,17,112,81,1,30
"059604","Bucknell",7140,3590,1968,54,448,3,991,86,1585,522,80,983
"059605","Fort Hunt*",2626,2457,33,16,98,5,10,7,40,38,0,2
"059606","Hollin Hall",2217,2116,39,14,35,0,11,2,48,37,0,11
"059607","Huntington*",5812,3913,873,36,469,9,470,42,821,339,30,452
"059608","Kirkside",2672,1948,426,15,187,1,70,25,157,87,3,67
"059609","Marlan",3089,2453,347,8,101,3,161,16,276,117,1,158
"059610","Sherwood*",4412,2801,1133,28,303,3,99,45,220,107,8,105
"059611","Stratford*",4252,3890,154,15,147,3,37,6,135,104,2,29
"059612","Waynewood*",1841,1743,18,4,55,3,14,4,49,39,0,10
"059613","Westgate*",3857,3521,132,12,128,1,55,8,114,73,4,37
"059614","Whitman*",2687,2408,97,20,122,2,30,8,109,78,4,27
"059615","Woodley*",4031,2694,736,44,286,10,221,40,443,198,10,235
"059616","Gunston*",6939,4614,1654,56,211,46,298,60,553,253,37,263
"059617","Lorton",9051,3601,4239,46,633,12,387,133,731,269,79,383
"059618","Newington*",7703,5251,1010,69,904,13,364,92,712,364,22,326
"059619","Belvoir*",6287,3789,1655,50,409,33,268,83,537,240,32,265
"059620","Delong*",2372,1446,394,11,348,5,129,39,281,173,2,106
"059621","Grosvenor*",2513,1494,563,27,171,6,198,54,345,124,13,208
"059622","Pohick Run",6179,3478,1556,31,568,6,445,95,822,355,50,417
"059701","Blake*",6250,4320,452,37,1037,9,334,61,723,411,18,294
"059703","Fort Buffalo*",3279,1746,336,15,586,1,571,24,911,347,12,552
"059704","Freedom Hill",7953,5534,328,27,1772,11,214,67,324,231,6,87
"059705","Graham*",3622,1757,224,23,659,3,914,42,1656,722,21,913
"059706","Greenway*",3021,2001,116,17,474,0,398,15,776,382,9,385
"059707","Mantua",3191,2864,39,14,236,3,33,2,104,85,0,19
"059708","Marshall*",8134,5309,407,33,1774,12,555,44,1147,660,17,470
"059709","Mosby*",8224,4625,649,29,2045,9,784,83,1380,708,19,653
"059710","Pine Spring*",4247,2657,265,20,912,4,344,45,643,298,5,340
"059711","Price",3545,2447,113,25,690,0,247,23,391,167,3,221
"059712","Shreve",1654,1379,28,7,192,1,38,9,103,63,2,38
"059713","Timber Lane",5845,3050,695,27,1226,1,811,35,1359,526,33,800
"059714","Walker*",4787,2669,224,25,1554,8,276,31,562,279,4,279
"059717","Woodburn*",3644,2166,227,14,798,1,391,47,783,403,8,372
"059718","Pine Ridge*",3914,2549,254,25,694,5,334,53,626,268,22,336
"059719","Stenwood*",2214,1516,80,9,320,0,279,10,512,238,2,272
"059720","Thoreau",2159,1828,60,16,218,0,28,9,117,82,2,33
"059721","Merrifield*",4303,2257,337,16,1324,7,329,33,690,395,11,284
"059726","Magarity*",5680,3819,266,21,1339,13,180,42,490,354,11,125
"059727","Oakton*",3225,2880,39,9,243,0,37,17,82,75,0,7
"059728","Walnut Hill # 2*",1149,900,17,5,199,0,26,2,85,53,1,31
"059729","Nottoway",5934,4654,249,27,873,11,88,32,355,288,8,59
"059730","Penderbrook*",4139,3201,261,6,577,3,65,26,222,150,10,62
"059731","Tysons*",4403,3261,130,13,715,1,242,41,267,217,3,47
"059732","Oak Marr*",3389,3055,92,9,194,2,31,6,84,70,0,14
"059801","Burke",7122,4442,517,34,1608,18,441,62,931,491,19,421
"059802","Cardinal*",3462,2521,274,28,438,3,171,27,378,195,7,176
"059803","Clifton*",5241,4688,114,35,322,3,70,9,152,99,1,52
"059805","Fairfax Station",4321,3840,91,14,344,1,23,8,92,62,3,27
"059808","Keene Mill*",2390,1798,99,17,343,3,110,20,195,113,2,80
"059811","Pohick",5967,4391,351,16,977,14,171,47,471,315,3,153
"059812","Valley*",4315,3033,274,30,833,5,116,24,302,185,3,114
"059815","Woodyard",4779,4264,148,7,301,3,34,22,132,104,0,28
"059824","Orange*",5868,4706,344,22,613,7,133,43,352,231,5,116
"059825","Cherry Run*",4073,3128,205,15,639,4,72,10,157,120,0,37
"059827","Irving*",3355,3020,75,7,197,3,47,6,165,125,0,40
"059829","Saratoga*",5345,3607,650,27,784,3,209,65,411,243,6,162
"059832","Terra Centre*",3434,2650,166,7,497,0,99,15,211,121,4,86
"059833","White Oaks",4834,3126,372,17,949,10,325,35,532,289,9,234
"059836","Hunt*",5358,3930,403,34,788,8,120,75,293,197,9,87
"059837","Burke Centre",7061,5258,350,31,1140,8,233,41,532,324,9,199
"059838","Sangster*",5213,4202,259,12,651,6,71,12,173,117,4,52
"059839","Silverbrook",8002,6239,426,24,1188,3,87,35,274,220,4,50
"059840","West Springfield*",3793,3019,223,8,462,0,63,18,198,141,5,52
"059841","Popes Head*",4037,3528,191,16,250,1,27,24,86,55,3,28
"059842","Parkway",3062,2371,106,9,524,6,37,9,107,87,0,20
"059901","Centre Ridge*",10769,6784,1203,50,1924,9,715,84,1286,599,29,658
"059902","Chantilly*",8555,5435,714,51,1686,13,568,88,1170,614,19,537
"059904","Dulles*",2971,2534,95,30,130,0,168,14,395,222,0,173
"059905","Franklin",4672,3793,218,19,542,5,73,22,200,131,3,66
"059906","Greenbriar East*",10143,6917,748,41,2031,11,330,65,733,416,24,293
"059907","Greenbriar West*",8175,6199,415,37,1330,5,153,36,428,315,3,110
"059908","Kinross",6797,5554,195,34,936,5,54,19,191,142,4,45
"059909","Leehigh*",7105,4950,530,28,1413,4,139,41,350,209,8,133
"059910","London Towne*",8036,4998,1139,35,1261,13,497,93,1118,619,19,480
"059911","Navy*",6810,5160,277,28,1210,6,109,20,310,204,5,101
"059912","Newgate*",6867,5907,178,27,622,14,99,20,220,135,1,84
"059913","Rocky Run*",5450,4511,185,25,658,6,48,17,176,137,0,39
"059914","Vale*",3640,3392,60,2,168,0,17,1,106,87,3,16
"059915","Virginia Run*",6395,5411,247,15,644,0,60,18,140,95,2,43
"059916","Waples Mill*",5177,4746,72,9,302,1,38,9,110,87,1,22
"059918","Centreville*",10230,7154,852,43,1761,11,341,68,716,405,18,293
"059919","Green Trails*",7766,5282,802,35,1274,1,321,51,636,324,15,297
"059920","Lees Corner",4584,3667,115,11,694,2,80,15,185,123,2,60
"059921","Deer Park*",5042,4171,166,38,546,2,109,10,233,148,0,85
"059922","Willow Springs*",5194,3517,253,17,1266,8,94,39,195,100,5,90
"059999","Cub Run 903/Stone 917",11818,9057,919,46,1295,8,417,76,804,395,25,384
"061101","Kettle Run*",1599,1466,93,5,8,0,16,11,22,7,2,13
"061102","Catlett*",3935,3489,359,34,27,0,20,6,44,28,1,15
"061103","Casanova*",1734,1482,228,3,6,1,10,4,32,25,1,6
"061104","Lois*",2232,2031,173,4,17,0,4,3,9,7,0,2
"061201","Warrenton*",6528,5265,1063,35,79,8,62,16,212,139,6,67
"061202","Baldwin Ridge*",4915,4324,472,27,34,2,41,15,79,41,8,30
"061301","Morrisville*",3644,3204,383,11,26,2,9,9,42,32,2,8
"061302","Remington*",6406,5545,650,43,34,7,100,27,194,91,11,92
"061303","Opal*",1973,1827,102,10,16,1,8,9,28,18,2,8
"061401","Marshall*",3678,3254,346,22,26,0,25,5,93,70,2,21
"061402","Leeds*",2039,1764,230,12,8,3,18,4,45,34,0,11
"061403","Waterloo*",4734,4185,425,42,42,1,28,11,62,36,8,18
"061404","Upperville*",830,769,48,4,2,0,7,0,31,21,0,10
"061501","The Plains*",3201,2864,262,15,10,0,49,1,107,61,2,44
"061502","New Baltimore*",5051,4774,124,35,71,7,34,6,73,43,0,30
"061503","Broad Run*",2640,2497,86,8,28,2,19,0,41,23,0,18
"063101","A*",2618,2527,72,10,4,0,4,1,24,19,3,2
"063201","B",2959,2866,61,11,4,1,11,5,21,16,0,5
"063301","C",2912,2739,132,8,8,1,21,3,65,46,0,19
"063401","D*",2512,2466,13,24,1,1,6,1,26,20,0,6
"063501","E",2873,2820,15,4,4,1,17,12,51,33,1,17
"065101","Palmyra*",3467,2408,992,17,21,1,23,5,44,30,2,12
"065201","Columbia*",3255,2293,913,20,4,5,12,8,33,12,9,12
"065301","Fork Union*",2906,1589,1294,7,14,0,0,2,18,4,11,3
"065401","Cunningham*",3262,2899,315,16,7,0,15,10,37,26,2,9
"065501","Rivanna*",7157,6736,279,43,54,2,24,19,103,59,4,40
"067102","Burnt Chimney*",4493,4152,284,20,10,0,20,7,42,25,0,17
"067103","Scruggs*",4190,4082,73,5,10,1,17,2,38,26,3,9
"067201","Glade Hill",3080,2840,206,6,4,0,23,1,54,33,0,21
"067202","Penhook",1641,1447,182,4,3,1,4,0,10,7,0,3
"067203","Hodgesville",2167,1866,260,11,4,0,18,8,33,14,0,19
"067301","Snow Creek",1401,1310,74,9,1,0,4,3,5,2,0,3
"067302","Fork Mountain",1761,1583,157,3,13,1,4,0,30,23,3,4
"067303","Sontag",2495,1706,743,11,3,0,29,3,52,28,2,22
"067304","Dickinson",1023,703,313,1,4,0,1,1,6,2,4,0
"067401","Henry*",2266,2154,92,6,8,0,2,4,26,22,0,4
"067402","Ferrum*",2290,2010,237,8,11,1,17,6,42,27,3,12
"067403","Endicott*",1046,1038,2,3,0,0,0,3,10,7,0,3
"067501","Waidsboro",1786,1605,138,12,14,3,14,0,35,11,0,24
"067502","Callaway",2873,2689,147,21,9,0,7,0,21,11,0,10
"067503","Bowmans",939,914,14,2,2,0,7,0,6,1,0,5
"067504","Gogginsville*",1293,1246,14,4,2,0,22,5,26,5,0,21
"067601","Boones Mill*",3160,3008,119,11,18,0,3,1,17,8,1,8
"067602","Bonbrook*",2131,2063,44,7,4,4,5,4,21,17,0,4
"067603","Cooper's Cove*",1496,1446,34,2,9,0,4,1,4,4,0,0
"067701","Rocky Mount East",1687,1169,470,8,24,4,4,8,13,7,2,4
"067702","Rocky Mount West*",2377,1858,454,6,24,0,22,13,55,15,9,31
"067703","Rocky Mount South*",1691,1174,481,6,19,0,6,5,27,19,1,7
"069101","Russells",2583,2533,14,22,9,1,4,0,7,3,0,4
"069102","Gore",2429,2368,23,10,23,0,3,2,11,11,0,0
"069103","Kernstown",4571,4437,60,17,31,0,15,11,67,47,0,20
"069104","Cedar Creek*",771,752,7,1,3,0,8,0,19,11,0,8
"069201","Gainesboro*",5506,5372,57,21,33,0,19,4,28,18,0,10
"069202","Albin*",5900,5764,67,24,22,5,12,6,47,35,0,12
"069301","Clearbrook",3715,3597,74,20,8,0,10,6,33,22,3,8
"069302","Neffstown",10959,10107,567,56,118,5,79,27,198,118,6,74
"069401","Carpers Valley*",5220,4802,271,20,35,0,76,16,121,51,2,68
"069402","Shenandoah*",5473,5165,149,24,76,2,49,8,110,61,0,49
"069501","Stephens City*",9854,9204,357,36,111,4,129,13,345,192,8,145
"069502","Middletown*",2228,2139,75,5,6,3,0,0,18,18,0,0
"071101","Glen Lyn",335,334,0,0,1,0,0,0,2,2,0,0
"071102","Rich Creek",1300,1288,9,0,2,1,0,0,11,11,0,0
"071103","Narrows*",3712,3667,16,11,5,1,9,3,25,17,0,8
"071201","Pearisburg*",4414,4259,101,7,23,0,19,5,31,23,0,8
"071202","Staffordsville*",539,525,11,0,2,0,1,0,1,0,0,1
"071203","White Gate*",466,446,16,0,2,0,0,2,3,3,0,0
"071204","Sugar Run*",219,215,3,1,0,0,0,0,0,0,0,0
"071301","Eggleston*",1142,1106,28,6,0,0,2,0,5,5,0,0
"071302","Pembroke",2725,2615,96,9,3,0,2,0,20,20,0,0
"071303","Newport",1481,1451,3,13,7,0,7,0,7,4,0,3
"071304","Hatfield*",324,320,3,1,0,0,0,0,0,0,0,0
"073101","Harcum*",2456,2043,340,18,36,2,10,7,44,31,2,11
"073102","Salem*",2204,1815,350,21,7,0,5,6,26,25,0,1
"073103","Bethel*",2429,2098,265,32,13,3,8,10,36,24,3,9
"073201","Courthouse*",2808,2338,415,19,21,0,11,4,33,9,7,17
"073202","Botetourt*",5186,4442,614,47,36,7,33,7,101,63,5,33
"073301","White Marsh*",4912,4270,515,43,45,3,27,9,80,42,1,37
"073302","Roanes*",1702,1470,193,15,7,3,7,7,34,28,1,5
"073401","Hayes*",6361,5574,554,71,93,5,59,5,120,58,3,59
"073501","Achilles*",4234,4004,150,30,41,0,6,3,49,39,1,9
"073502","Timberneck*",2488,2094,302,25,41,6,14,6,37,24,0,13
"075101","Fife*",1211,867,307,11,4,0,9,13,11,3,1,7
"075102","Hadensville*",2118,1563,514,10,20,4,5,2,19,10,5,4
"075201","Three Square*",759,418,331,2,1,0,6,1,8,0,5,3
"075202","Sandy Hook*",2894,1748,1092,24,12,0,13,5,28,9,6,13
"075301","Goochland Court House*",3632,2395,1211,7,14,0,3,2,15,9,3,3
"075402","Centerville*",2920,2371,506,10,23,1,6,3,45,25,3,17
"075501","Manakin*",3329,2899,391,4,26,0,5,4,18,11,3,4
"077101","Bridle Creek*",605,570,23,8,1,0,3,0,0,0,0,0
"077102","Flatridge*",400,397,1,1,0,0,0,1,0,0,0,0
"077103","Grant",618,611,0,4,2,1,0,0,3,3,0,0
"077104","Mouth Of Wilson",467,464,0,2,0,0,1,0,8,7,0,1
"077105","Mount Rogers",697,690,0,4,3,0,0,0,2,2,0,0
"077106","Rugby",627,623,1,3,0,0,0,0,0,0,0,0
"077107","Troutdale*",1372,522,834,0,5,1,10,0,13,3,0,10
"077201","Comers Rock",376,372,0,3,0,0,1,0,2,1,0,1
"077202","Elk Creek",754,714,33,1,2,0,4,0,2,1,1,0
"077203","Independence",3135,2982,99,13,6,1,34,0,78,46,1,31
"077301","Baywood*",1621,1512,81,7,0,3,18,0,26,5,1,20
"077302","Fairview*",2613,2507,58,19,0,0,26,3,63,36,0,27
"077303","Oldtown*",836,767,64,0,1,0,4,0,15,11,0,4
"0774011","Fries Part 1",1278,1262,7,4,0,0,4,1,21,16,0,5
"0774012","Fries Part 2",95,95,0,0,0,0,0,0,0,0,0,0
"077402","Providence",2423,2341,28,21,2,0,30,1,44,15,0,29
"079101","Dyke",1630,1588,17,18,4,0,3,0,10,6,0,4
"079102","Swift Run",4156,3821,245,28,28,4,26,4,65,41,0,24
"079201","Ruckersville*",5351,4800,417,24,36,1,60,13,90,37,1,52
"079301","Stanardsville*",4107,3662,375,9,17,1,32,11,36,18,0,18
"081101","1-A",1021,421,592,1,1,0,6,0,9,2,2,5
"081102","1-B*",373,224,148,0,0,0,1,0,4,4,0,0
"081103","1-C",790,180,599,5,2,0,0,4,8,5,0,3
"081201","2-A",1056,285,753,3,3,1,4,7,18,2,14,2
"081202","2-B*",1062,650,395,1,0,1,14,1,10,1,0,9
"081302","3-A",4801,1530,3208,4,39,0,18,2,28,10,9,9
"081401","4-A*",573,347,213,1,5,0,4,3,8,3,0,5
"081402","4-B*",971,469,496,1,2,0,2,1,0,0,0,0
"081403","4-C",913,396,509,0,0,0,8,0,23,14,1,8
"083101","Childrey*",1272,744,509,4,0,0,0,15,14,2,0,12
"083102","Liberty*",1675,1196,463,5,4,0,7,0,27,20,2,5
"083103","Republican Grove*",1851,1064,764,10,0,0,11,2,10,2,1,7
"083201","Clays Mill",1674,1366,295,7,2,0,4,0,9,3,3,3
"083202","Crossroads",1338,692,637,2,1,0,2,4,7,3,2,2
"083203","Clover*",1931,1029,874,7,3,0,5,13,27,13,7,7
"083302","Meadville",1533,601,914,6,0,0,10,2,42,16,13,13
"083303","Union",1734,652,1064,7,5,1,3,2,8,6,0,2
"083304","Vernon Hill",1551,1080,449,5,3,1,5,8,26,20,0,6
"083499","Courthouse 401/Sinai 402*",4371,1695,2617,9,12,1,19,18,23,10,2,11
"083501","Center",1687,1333,338,4,2,0,9,1,16,8,1,7
"083502","Dan River",1423,1005,385,3,12,0,9,9,16,8,0,8
"083503","Scottsburg",1836,1354,456,9,2,0,13,2,31,18,0,13
"083601","Black Walnut",2254,1376,827,7,16,0,19,9,42,19,6,17
"083603","Mt. Carmel",2093,1156,920,3,2,0,8,4,24,16,0,8
"083701","Hyco",3182,2394,726,12,22,0,28,0,41,13,5,23
