"DISTRICT","TOTALPOP","WHITE","% White","BLACK","% Black","AMIND","% AmInd","ASIAN","% Asian","HAWPI","OTHER","MULTI","HISP","% Hispanic"
30,72237,58514,81%,11755,16.3%,406,0.6%,597,0.8%,25,733,207,1570,2.2%
31,72183,65445,90.7%,5088,7%,444,0.6%,529,0.7%,40,505,132,1328,1.8%
32,69705,55062,79%,4532,6.5%,282,0.4%,6805,9.8%,83,2522,419,5008,7.2%
33,70407,64660,91.8%,3695,5.2%,279,0.4%,846,1.2%,34,742,151,1682,2.4%
34,70497,57466,81.5%,1586,2.2%,201,0.3%,9073,12.9%,43,1861,267,3848,5.5%
35,68509,49597,72.4%,5248,7.7%,242,0.4%,9089,13.3%,40,3764,529,7429,10.8%
36,69515,50665,72.9%,5646,8.1%,363,0.5%,7753,11.2%,61,4437,590,7821,11.3%
37,72435,52937,73.1%,4621,6.4%,354,0.5%,11101,15.3%,54,2908,460,6005,8.3%
38,68909,49124,71.3%,3099,4.5%,360,0.5%,10200,14.8%,58,5657,411,11003,16%
39,70913,43395,61.2%,6366,9%,315,0.4%,13836,19.5%,84,6095,822,10740,15.1%
40,71877,58408,81.3%,5947,8.3%,280,0.4%,4725,6.6%,32,2074,411,4291,6%
41,71995,54977,76.4%,3507,4.9%,261,0.4%,10496,14.6%,87,2253,414,4972,6.9%
42,70888,46846,66.1%,10592,14.9%,375,0.5%,8956,12.6%,121,3375,623,6902,9.7%
43,69578,45829,65.9%,9487,13.6%,375,0.5%,9025,13%,110,4063,689,7965,11.4%
44,70384,40524,57.6%,17161,24.4%,447,0.6%,5160,7.3%,87,6183,822,10994,15.6%
45,70694,48801,69%,12897,18.2%,393,0.6%,2323,3.3%,66,5720,494,9243,13.1%
46,71739,38292,53.4%,18325,25.5%,319,0.4%,6527,9.1%,93,6598,1585,11139,15.5%
47,70351,55937,79.5%,4078,5.8%,418,0.6%,5610,8%,60,3761,487,7288,10.4%
48,72764,47519,65.3%,9455,13%,385,0.5%,7357,10.1%,73,7128,847,12527,17.2%
49,72080,36011,50%,8078,11.2%,487,0.7%,9743,13.5%,104,16275,1382,27851,38.6%
50,71179,50347,70.7%,8648,12.1%,439,0.6%,5229,7.3%,64,5985,467,10070,14.1%
51,69176,46620,67.4%,12739,18.4%,414,0.6%,4548,6.6%,90,3966,799,7536,10.9%
52,69342,39799,57.4%,20287,29.3%,580,0.8%,3627,5.2%,125,4034,890,7775,11.2%
53,69559,48226,69.3%,3365,4.8%,309,0.4%,13243,19%,66,3838,512,7611,10.9%
54,72324,54810,75.8%,14632,20.2%,589,0.8%,995,1.4%,51,891,356,1872,2.6%
55,72207,63424,87.8%,6759,9.4%,368,0.5%,1191,1.6%,7,315,143,751,1%
56,71807,55843,77.8%,14681,20.4%,457,0.6%,331,0.5%,34,258,203,687,1%
57,70334,52096,74.1%,12867,18.3%,213,0.3%,3909,5.6%,30,863,356,1848,2.6%
58,69686,61832,88.7%,5740,8.2%,280,0.4%,1065,1.5%,16,629,124,1457,2.1%
59,72510,49286,68%,22030,30.4%,326,0.4%,278,0.4%,37,334,219,832,1.1%
60,69735,41712,59.8%,26996,38.7%,245,0.4%,228,0.3%,9,369,176,851,1.2%
61,68733,43375,63.1%,24290,35.3%,249,0.4%,189,0.3%,23,462,145,949,1.4%
62,69485,48115,69.2%,17712,25.5%,475,0.7%,1468,2.1%,96,1257,362,2437,3.5%
63,70548,27449,38.9%,41614,59%,271,0.4%,439,0.6%,35,447,293,883,1.3%
64,71162,43656,61.3%,25995,36.5%,354,0.5%,451,0.6%,24,452,230,1020,1.4%
65,71042,58156,81.9%,10456,14.7%,309,0.4%,1395,2%,21,519,186,1005,1.4%
66,71154,61562,86.5%,7011,9.9%,304,0.4%,1588,2.2%,41,484,164,1131,1.6%
67,71130,54291,76.3%,4270,6%,332,0.5%,9602,13.5%,60,2183,392,4922,6.9%
68,71802,49129,68.4%,17674,24.6%,356,0.5%,2970,4.1%,40,1143,490,2045,2.8%
69,72030,29307,40.7%,38381,53.3%,292,0.4%,1134,1.6%,108,2230,578,3240,4.5%
70,71460,25538,35.7%,42659,59.7%,942,1.3%,555,0.8%,47,1273,446,1903,2.7%
71,70428,28646,40.7%,38950,55.3%,336,0.5%,1335,1.9%,46,635,480,1142,1.6%
72,71683,63504,88.6%,4490,6.3%,222,0.3%,2639,3.7%,30,593,205,1335,1.9%
73,72611,61513,84.7%,5152,7.1%,275,0.4%,4418,6.1%,27,1034,192,1867,2.6%
74,72208,28239,39.1%,41885,58%,505,0.7%,606,0.8%,21,602,350,1036,1.4%
75,72386,33972,46.9%,37326,51.6%,234,0.3%,371,0.5%,20,290,173,727,1%
76,70872,58174,82.1%,9273,13.1%,586,0.8%,1280,1.8%,73,1078,408,2449,3.5%
77,71040,32723,46.1%,36438,51.3%,382,0.5%,728,1%,31,398,340,984,1.4%
78,72432,58634,81%,11284,15.6%,501,0.7%,1184,1.6%,67,535,227,1421,2%
79,70795,41253,58.3%,26722,37.7%,562,0.8%,1060,1.5%,81,655,462,1503,2.1%
80,69975,30799,44%,36891,52.7%,457,0.7%,993,1.4%,59,431,345,980,1.4%
81,70486,54475,77.3%,11300,16%,655,0.9%,1866,2.6%,132,1529,529,3451,4.9%
82,72033,62588,86.9%,6069,8.4%,437,0.6%,1688,2.3%,71,895,285,2062,2.9%
83,72415,54587,75.4%,12703,17.5%,495,0.7%,2832,3.9%,85,1191,522,2707,3.7%
84,72004,47874,66.5%,16650,23.1%,562,0.8%,4754,6.6%,96,1417,651,3296,4.6%
85,71159,48570,68.3%,15169,21.3%,445,0.6%,5270,7.4%,65,1090,550,2452,3.4%
86,69090,34433,49.8%,28315,41%,745,1.1%,2410,3.5%,117,2385,685,4233,6.1%
87,69898,47416,67.8%,16397,23.5%,675,1%,3005,4.3%,118,1548,739,3188,4.6%
88,70372,27972,39.7%,39555,56.2%,329,0.5%,1360,1.9%,69,616,471,1271,1.8%
89,69733,65209,93.5%,3273,4.7%,239,0.3%,320,0.5%,16,589,87,1429,2%
90,72880,30356,41.7%,37906,52%,481,0.7%,2241,3.1%,74,1150,672,2229,3.1%
91,71255,62021,87%,6619,9.3%,543,0.8%,1217,1.7%,75,564,216,1414,2%
92,71873,28425,39.5%,39532,55%,520,0.7%,1582,2.2%,83,902,829,2012,2.8%
93,68684,41460,60.4%,22820,33.2%,461,0.7%,2051,3%,101,1104,687,2472,3.6%
94,68939,40992,59.5%,21951,31.8%,462,0.7%,2524,3.7%,138,2008,864,3832,5.6%
95,69018,26384,38.2%,40286,58.4%,398,0.6%,627,0.9%,38,629,656,1280,1.9%
96,71042,47894,67.4%,17716,24.9%,516,0.7%,2760,3.9%,124,1400,632,2809,4%
97,70433,58128,82.5%,9588,13.6%,503,0.7%,1477,2.1%,53,465,219,1209,1.7%
98,69918,54221,77.5%,14066,20.1%,663,0.9%,462,0.7%,12,314,180,612,0.9%
99,68776,49026,71.3%,18176,26.4%,383,0.6%,404,0.6%,35,590,162,1276,1.9%
100,72153,49061,68%,20386,28.3%,401,0.6%,240,0.3%,47,1857,161,2794,3.9%
