"DISTRICT","VAP","VAP
WHITE","% White","VAP
BLACK","% Black","VAP
AMIND","% AmInd","VAP
ASIAN","% Asian","VAP
HAWPI","VAP
OTHER","VAP
MULTI","VAP
HISP","% Hisp"
44,52060,31630,61%,11684,22.4%,325,0.6%,3712,7.1%,65,4118,526,7256,13.9%
45,59314,42750,72%,9635,16.2%,325,0.5%,1939,3.3%,51,4256,358,6849,11.5%
46,59490,33730,57%,13958,23.5%,259,0.4%,5423,9.1%,75,4811,1234,8102,13.6%
47,58314,46916,80%,3253,5.6%,332,0.6%,4555,7.8%,47,2862,349,5471,9.4%
48,63786,43315,68%,7625,12%,322,0.5%,6443,10.1%,68,5330,683,9508,14.9%
49,55965,29457,53%,5916,10.6%,361,0.6%,7450,13.3%,65,11699,1017,20180,36.1%
50,50121,36331,72%,5631,11.2%,319,0.6%,3633,7.2%,42,3881,284,6527,13%
51,48416,33906,70%,8072,16.7%,297,0.6%,3140,6.5%,70,2503,428,4785,9.9%
52,47202,28524,60%,12673,26.8%,391,0.8%,2539,5.4%,88,2527,460,4860,10.3%
53,53934,38226,71%,2369,4.4%,235,0.4%,10002,18.5%,51,2717,334,5501,10.2%
54,51696,39584,77%,10226,19.8%,439,0.8%,690,1.3%,32,534,191,1163,2.2%
55,52611,46282,88%,4977,9.5%,265,0.5%,822,1.6%,5,175,85,483,0.9%
56,54192,42339,78%,11018,20.3%,314,0.6%,230,0.4%,17,148,126,441,0.8%
57,57837,44259,77%,9031,15.6%,177,0.3%,3416,5.9%,28,659,267,1413,2.4%
58,51731,46228,89%,4107,7.9%,198,0.4%,728,1.4%,14,381,75,968,1.9%
59,56272,39246,70%,16182,28.8%,225,0.4%,208,0.4%,33,218,160,580,1%
60,54016,33352,62%,19953,36.9%,196,0.4%,179,0.3%,7,223,106,553,1%
61,52509,33651,64%,18100,34.5%,187,0.4%,130,0.2%,13,325,103,711,1.4%
62,50694,36421,72%,11665,23%,364,0.7%,1093,2.2%,69,876,206,1690,3.3%
63,53412,21744,41%,30605,57.3%,216,0.4%,346,0.6%,31,274,196,596,1.1%
64,54369,33478,62%,19768,36.4%,274,0.5%,343,0.6%,18,329,159,769,1.4%
65,52320,43138,82%,7524,14.4%,218,0.4%,1004,1.9%,12,311,113,649,1.2%
66,50781,44490,88%,4571,9%,209,0.4%,1093,2.2%,32,291,95,697,1.4%
67,48002,36760,77%,2772,5.8%,211,0.4%,6559,13.7%,35,1430,235,3262,6.8%
68,59537,42482,71%,13223,22.2%,297,0.5%,2302,3.9%,28,844,361,1558,2.6%
69,55186,25155,46%,26764,48.5%,236,0.4%,878,1.6%,95,1672,386,2393,4.3%
70,52512,21148,40%,28945,55.1%,715,1.4%,466,0.9%,32,922,284,1326,2.5%
71,55710,25254,45%,28126,50.5%,273,0.5%,1203,2.2%,34,477,343,847,1.5%
72,52468,46898,89%,2977,5.7%,166,0.3%,1915,3.6%,17,371,124,881,1.7%
73,54553,46429,85%,3745,6.9%,212,0.4%,3289,6%,18,731,129,1338,2.5%
74,53164,23028,43%,28675,53.9%,373,0.7%,470,0.9%,16,388,214,676,1.3%
75,55507,26910,48%,27825,50.1%,193,0.3%,263,0.5%,13,195,108,504,0.9%
76,48659,40507,83%,5935,12.2%,404,0.8%,865,1.8%,61,674,213,1558,3.2%
77,50597,24854,49%,24438,48.3%,285,0.6%,535,1.1%,20,238,227,580,1.1%
78,50191,40495,81%,8135,16.2%,336,0.7%,772,1.5%,41,304,108,829,1.7%
79,52463,32467,62%,18009,34.3%,421,0.8%,783,1.5%,63,437,283,1055,2%
80,50737,23580,46%,25604,50.5%,337,0.7%,702,1.4%,40,253,221,599,1.2%
81,50137,39673,79%,7358,14.7%,474,0.9%,1306,2.6%,82,961,283,2150,4.3%
82,56316,49700,88%,4169,7.4%,334,0.6%,1259,2.2%,51,651,152,1468,2.6%
83,54516,42548,78%,8347,15.3%,373,0.7%,2107,3.9%,56,780,305,1727,3.2%
84,50397,34450,68%,10963,21.8%,385,0.8%,3348,6.6%,62,871,318,2034,4%
85,51265,36051,70%,9938,19.4%,338,0.7%,3917,7.6%,52,652,317,1490,2.9%
86,54815,29015,53%,20724,37.8%,613,1.1%,1943,3.5%,94,1952,474,3399,6.2%
87,52092,37052,71%,10770,20.7%,521,1%,2179,4.2%,85,1082,403,2114,4.1%
88,53337,23484,44%,27583,51.7%,267,0.5%,1157,2.2%,51,449,346,891,1.7%
89,51973,48922,94%,2261,4.4%,171,0.3%,217,0.4%,12,333,57,909,1.7%
90,52806,24391,46%,25198,47.7%,357,0.7%,1708,3.2%,54,752,346,1422,2.7%
91,53322,46816,88%,4683,8.8%,417,0.8%,881,1.7%,55,341,129,856,1.6%
92,53237,22398,42%,28112,52.8%,373,0.7%,1180,2.2%,56,602,516,1349,2.5%
93,51378,32687,64%,15628,30.4%,355,0.7%,1539,3%,68,721,380,1586,3.1%
94,49616,31427,63%,14103,28.4%,337,0.7%,1893,3.8%,89,1314,453,2468,5%
95,50491,21119,42%,27763,55%,301,0.6%,456,0.9%,28,419,405,809,1.6%
96,51492,35502,69%,12389,24.1%,382,0.7%,1883,3.7%,87,895,354,1823,3.5%
97,55557,46573,84%,6969,12.5%,359,0.6%,1188,2.1%,34,308,126,825,1.5%
98,52188,40813,78%,10279,19.7%,482,0.9%,309,0.6%,8,184,113,395,0.8%
99,53554,39304,73%,13180,24.6%,291,0.5%,301,0.6%,24,352,102,795,1.5%
100,54739,38577,70%,14289,26.1%,304,0.6%,169,0.3%,31,1265,104,1834,3.4%
