
	District	1	Population Deviation: 	-4,168	Percent Deviation:	-2.4
	087	505	Elko*	176
	087	508	Highland Springs*	1,627
	087	509	Laburnum*	3,086
	087	511	Town Hall*	1,075
	087	513	Pleasants*	4,968
	087	514	Sandston*	1,419
	087	515	Seven Pines*	1,707
	087	516	Sullivans*	6,160
	087	517	Mehfoud*	1,597
	087	518	Whitlocks*	357
	087	519	Nine Mile*	2,146
	087	520	Dorey*	3,810
	087	521	Antioch*	2,187
	New Kent (Part)	6,838
	127	101	Black Creek*	2,726
	127	201	Quinton*	2,703
	127	402	Chickahominy River*	1,409
	Prince George (Part)	7,787
	149	205	Jefferson Park*	7,787
	Richmond city (Part)	55,129
	760	609	609	3,169
	760	610	610*	1,545
	760	701	701*	4,286
	760	702	702*	1,878
	760	703	703*	2,193
	760	704	704*	1,725
	760	705	705	2,249
	760	706	706	4,639
	760	707	707	4,256
	760	802	802*	2,719
	760	806	806	1,681
	760	807	807*	1,844
	760	811	811*	2,856
	760	812	812*	4,025
	760	813	813	3,377
	760	902	902*	3,585
	760	903	903*	6,244
	760	906	906*	2,858
	District number-	16	Total	176,875	Population Deviation: 	-88	Percent Deviation:	0.0	%
	Population:

	District	17	Population Deviation: 	-3,147	Percent Deviation:	-1.8

	Counties and Cities	157,676
	033	Caroline	22,121
	137	Orange	25,881
	177	Spotsylvania	90,395
	630	Fredericksburg city	19,279
	Stafford (Part)	16,140
	179	102	Simpson*	4,677
	179	204	Stefaniga*	2,680
	179	502	Falmouth*	3,855
	179	503	Gayle*	4,928
	District number-	17	Total	173,816	Population Deviation: 	-3,147	Percent Deviation:	-1.8	%
	Population:

	District	18	Population Deviation: 	-1,679	Percent Deviation:	-0.9

	Counties and Cities	100,565
	740	Portsmouth city	100,565
	Chesapeake city (Part)	42,136
	550	003	Camelot	6,566
	550	004	Churchland*	3,428
	550	019	Jolliff One*	2,061
	550	020	E. W. Chittum School*	5,815
	550	021	Fellowship Baptist Church	3,068
	550	026	Johnson Park*	2,791
	550	027	Silverwood*	4,573
	550	028	Sunray I*	366
	550	030	South Norfolk Fire Station*	2,021
	550	035	Taylor Road Fire Station*	6,485
	550	038	Bailey Creek*	1,850
	550	044	Nansemond	1,366
