"Fips","Name","Vap","Vap
White","Vap
Black","Vap
Am. Ind","Vap
Asian","Vap
HawPI","Vap
Other","Vap
Multi","Vap
Hisp","Vap
HispW","Vap
HispB","Vap
HispO"
"147","Prince Edward",15728,10343,5126,50,105,18,48,38,135,65,28,42
"149","Prince George",24742,15260,7927,177,528,46,650,154,1250,453,117,680
"153","Prince William",195364,139443,34476,1374,8772,332,9497,1470,17460,7631,577,9252
"155","Pulaski",27888,25931,1536,141,98,9,145,28,241,122,2,117
"157","Rappahannock",5424,5015,322,34,23,0,22,8,63,40,3,20
"159","Richmond",7192,4650,2432,15,28,7,52,8,131,68,7,56
"161","Roanoke",66278,62442,2179,241,1029,12,306,69,579,332,15,232
"163","Rockbridge",16179,15510,464,92,78,2,22,11,84,63,5,16
"165","Rockingham",51046,49547,687,148,169,12,450,33,1378,946,30,402
"167","Russell",23887,22820,890,73,17,5,73,9,183,108,10,65
"169","Scott",18573,18320,105,90,15,3,28,12,67,45,2,20
"171","Shenandoah",27264,26236,333,127,107,10,436,15,768,319,8,441
"173","Smyth",25934,25166,497,106,58,1,77,29,204,126,5,73
"175","Southampton",13509,7672,5701,51,29,2,33,21,85,24,21,40
"177","Spotsylvania",63287,53286,7595,468,1031,40,661,206,1536,856,73,607
"179","Stafford",63277,52915,7267,600,1284,85,859,267,2048,1118,115,815
"181","Surry",5108,2489,2563,21,5,2,14,14,38,25,9,4
"183","Sussex",10047,3656,6256,31,14,4,61,25,83,11,13,59
"185","Tazewell",35033,33789,786,158,211,1,58,30,152,113,6,33
"187","Warren",23501,21939,1105,151,131,12,130,33,343,230,8,105
"191","Washington",40498,39606,529,151,112,15,63,22,233,196,2,35
"193","Westmoreland",12872,8835,3677,68,54,2,196,40,348,136,17,195
"195","Wise",30889,30007,544,126,118,5,75,14,189,131,4,54
"197","Wythe",21569,20739,607,75,86,3,50,9,107,70,7,30
"199","York",39894,32436,5193,261,1409,61,379,155,885,487,51,347
"510","Alexandria city",106746,67339,22115,503,6703,111,8484,1491,13851,5757,366,7728
"515","Bedford city",4936,3851,1009,21,24,3,10,18,43,32,3,8
"520","Bristol city",13837,12945,693,86,63,3,34,13,108,71,10,27
"530","Buena Vista city",4923,4645,217,23,23,5,7,3,38,30,2,6
"540","Charlottesville city",38214,27841,7224,118,2329,25,471,206,894,435,71,388
"550","Chesapeake city",141901,97213,39041,960,3029,106,1052,500,2515,1266,235,1014
"560","Clifton Forge city",3384,2846,493,14,3,0,13,15,21,12,0,9
"570","Colonial Heights city",13082,11808,718,39,384,13,91,29,194,97,11,86
"580","Covington city",4951,4224,631,26,42,2,15,11,31,23,0,8
"590","Danville city",37139,21940,14604,113,231,11,174,66,393,184,51,158
"595","Emporia city",4240,1979,2199,10,27,3,14,8,64,48,5,11
"600","Fairfax city",17082,12775,814,94,2169,14,1105,111,2072,958,36,1078
"610","Falls Church city",7947,6805,268,49,577,8,214,26,611,400,9,202
"620","Franklin city",6247,3091,3052,22,47,1,22,12,22,7,6,9
"630","Fredericksburg city",15851,12211,2793,94,286,8,404,55,696,261,43,392
"640","Galax city",5265,4684,269,30,37,1,240,4,461,215,5,241
"650","Hampton city",110940,57839,47628,761,2383,129,1280,920,2798,1099,438,1261
"660","Harrisonburg city",34231,29629,1948,124,1265,16,1115,134,2476,1329,105,1042
"670","Hopewell city",16389,10989,4795,127,195,12,201,70,423,189,47,187
"678","Lexington city",6112,5293,603,22,139,4,36,15,93,57,0,36
"680","Lynchburg city",50812,35686,13608,234,722,24,350,188,614,276,49,289
"683","Manassas city",24748,18276,3127,152,937,19,2093,144,3408,1294,78,2036
"685","Manassas Park city",7099,5299,752,55,337,6,616,34,991,368,25,598
"690","Martinsville city",11938,7085,4662,36,58,1,77,19,241,134,39,68
"700","Newport News city",130625,74992,47254,900,3680,173,2524,1102,4867,1853,513,2501
"710","Norfolk city",178051,93037,72614,1445,5855,242,3535,1323,6518,2377,733,3408
"720","Norton city",3054,2838,163,9,33,4,6,1,19,16,2,1
"730","Petersburg city",25256,5541,19166,84,223,10,131,101,326,105,96,125
"735","Poquoson city",8464,8167,58,53,148,5,24,9,75,55,0,20
"740","Portsmouth city",74711,36815,35601,587,741,83,501,383,1184,502,208,474
"750","Radford city",13810,12307,1064,67,224,5,90,53,163,85,5,73
"760","Richmond city",154612,67614,80303,627,2398,147,2531,992,3842,1006,409,2427
"770","Roanoke city",73454,53583,17683,399,872,28,601,288,950,424,101,425
"775","Salem city",19585,18157,1074,69,192,6,61,26,148,107,7,34
"790","Staunton city",19124,16198,2551,91,109,4,121,50,194,97,20,77
"800","Suffolk city",45944,25884,19049,253,413,14,158,173,470,201,116,153
"810","Virginia Beach city",308369,227993,53585,2251,17259,403,5076,1802,11274,5455,864,4955
"820","Waynesboro city",14856,13113,1337,95,100,5,157,49,418,262,4,152
"830","Williamsburg city",10850,8884,1226,47,565,9,90,29,260,176,5,79
"840","Winchester city",18473,15538,1791,122,326,8,629,59,1081,451,12,618
,"Totals",5340253,3961442,990156,29037,214114,3862,117602,24040,226840,108288,9288,109264
