"FIPS","County Name","Voting
Age Pop.","VAP
White","VAP
Black","VAP
AIAN","VAP
Asian","VAP
HawPI","VAP
Other","VAP
Multi","VAP
HispWh","VAP
HispBl","VAP
HispOt","Total VAP
Hispanic"
"147","Prince Edward",19311,12811,6006,113,181,15,136,49,203,62,133,398
"149","Prince George",27673,17216,8971,253,530,65,453,185,740,201,469,1410
"153","Prince William",285827,172099,58265,2657,24464,509,25063,2770,23746,1732,26876,52354
"155","Pulaski",28071,26182,1439,154,175,9,86,26,184,4,85,273
"157","Rappahannock",5908,5510,277,40,38,2,28,13,116,1,26,143
"159","Richmond",7663,5002,2409,37,39,3,148,25,192,10,156,358
"161","Roanoke",72263,65915,3598,325,1867,36,398,124,776,40,405,1221
"163","Rockbridge",18043,17180,499,169,96,11,65,23,111,13,60,184
"165","Rockingham",58242,55075,1042,312,375,13,1329,96,887,36,1434,2357
"167","Russell",22992,22522,207,98,60,4,83,18,77,3,90,170
"169","Scott",18701,18369,116,100,33,5,70,8,63,0,73,136
"171","Shenandoah",32764,30900,583,216,209,11,800,45,691,28,839,1558
"173","Smyth",25491,24529,542,125,77,3,184,31,141,5,181,327
"175","Southampton",14652,8870,5564,84,43,4,44,43,50,16,49,115
"177","Spotsylvania",88354,68559,13502,651,2390,141,2676,435,2726,238,2777,5741
"179","Stafford",91764,68649,15523,816,3172,145,2842,617,3789,411,3053,7253
"181","Surry",5571,2917,2544,38,24,2,18,28,28,8,26,62
"183","Sussex",10059,3973,5876,34,42,0,118,16,58,16,115,189
"185","Tazewell",35903,34222,1166,157,245,11,72,30,134,0,77,211
"187","Warren",28495,26200,1381,253,331,11,267,52,505,15,287,807
"191","Washington",44122,42920,601,193,177,13,195,23,298,6,188,492
"193","Westmoreland",13961,9607,3749,142,101,7,312,43,269,22,348,639
"195","Wise",32846,30324,2053,157,133,2,151,26,172,15,143,330
"197","Wythe",23125,22155,652,111,112,4,73,18,97,4,75,176
"199","York",48188,37655,6578,319,2629,80,615,312,978,84,628,1690
"510","Alexandria",115996,73180,24732,801,8126,162,8028,967,7870,646,8351,16867
"515","Bedford city",4944,3886,969,20,37,2,19,11,56,9,24,89
"520","Bristol",14128,13055,763,89,108,6,75,32,76,5,62,143
"530","Buena Vista",5226,4795,264,84,30,14,28,11,55,2,30,87
"540","Charlottesville",37001,26582,6496,195,2903,20,646,159,967,70,675,1712
"550","Chesapeake",164688,106003,48557,1249,5607,190,2151,931,3034,629,2414,6077
"570","Colonial Heights",13523,11465,1229,84,507,18,172,48,199,30,183,412
"580","Covington",4694,3987,607,26,34,2,23,15,40,3,18,61
"590","Danville",33793,17626,15189,133,325,10,420,90,286,46,436,768
"595","Emporia",4400,1597,2640,14,36,5,90,18,64,12,102,178
"600","Fairfax city",17973,12813,884,149,2894,14,1111,108,1374,45,1176,2595
"610","Falls Church",9285,7546,413,47,1016,7,211,45,537,8,226,771
"620","Franklin city",6536,2818,3556,34,57,1,41,29,29,8,43,80
"630","Fredericksburg",19507,13436,4038,143,657,19,1069,145,592,79,1092,1763
"640","Galax",5498,4881,318,17,31,5,223,23,306,10,237,553
"650","Hampton",106162,48015,51659,835,2818,147,1446,1242,1633,847,1647,4127
"660","Harrisonburg",41566,33909,2560,193,1799,71,2872,162,1963,156,2947,5066
"670","Hopewell",16918,10152,5784,127,211,25,533,86,332,92,548,972
"678","Lexington",6328,5416,619,23,179,4,63,24,149,11,56,216
"680","Lynchburg",60794,41464,16338,344,1542,36,803,267,829,113,761,1703
"683","Manassas",27074,17556,3828,207,1554,46,3690,193,3306,221,3829,7356
"685","Manassas Park",10214,5940,1402,73,1040,14,1649,96,1255,48,1700,3003
"690","Martinsville",10866,5838,4675,32,102,4,180,35,112,9,187,308
"700","Newport News",136806,72247,53078,1111,4772,279,3831,1488,3697,1071,4258,9026
"710","Norfolk",192191,97168,78556,1655,7597,386,4480,2349,3923,1253,4127,11893
"720","Norton",3094,2805,192,16,51,0,28,2,22,0,26,48
"730","Petersburg",25713,4678,20062,112,247,14,430,170,229,155,456,840
"735","Poquoson",9181,8780,69,60,215,5,35,17,109,0,39,148
"740","Portsmouth",72869,32657,37236,578,1041,102,752,503,800,338,818,1956
"750","Radford",14263,12552,1150,72,274,13,151,51,179,11,143,333
"760","Richmond city",166205,74440,78561,908,5149,150,5716,1281,2754,754,6010,9518
"770","Roanoke",75906,51730,20228,455,1427,46,1673,347,1573,230,1748,3551
"775","Salem",19868,17878,1296,111,318,5,238,22,151,22,234,407
"790","Staunton",19131,16432,2251,96,177,8,115,52,209,22,121,352
"800","Suffolk",62448,34226,25895,341,1159,40,470,317,777,186,518,1481
"810","Virginia Beach",332745,233719,63177,2595,23397,642,6740,2475,9531,1680,7554,18765
"820","Waynesboro",16110,13704,1698,105,152,10,377,64,354,37,389,780
"830","Williamsburg",12664,9629,1674,59,907,10,322,63,397,36,335,768
"840","Winchester",20382,15925,2211,124,526,8,1516,72,920,52,1564,2536
